year,state,total_co2_tons,total_so2_lbs,total_nox_lbs,num_emitting_plants,co2_intensity_tons_per_mwh,renewable_capacity_mw,renewable_capacity_fraction,coal_generation_mwh,gas_generation_mwh,nuclear_generation_mwh,renewable_generation_mwh,coal_consumed_mmbtu,gas_consumed_mmbtu,renewable_consumed_mmbtu,prev_year_co2_tons,yoy_co2_change_tons,yoy_co2_change_pct
1995,AL,21471588.27,299978530.12,93646599.32,4.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
1996,AL,20360757.79,351750763.00,84899320.26,3.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21471588.27,-1110830.48,-0.05
1997,AL,79159654.65,1135478004.63,418251846.12,12.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20360757.79,58798896.86,2.89
1998,AL,80557219.65,1150799627.82,396299621.19,12.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79159654.65,1397565.00,0.02
1999,AL,83978343.31,1084868609.00,369488107.72,13.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80557219.65,3421123.67,0.04
2000,AL,88806364.07,1024149320.82,362203003.74,13.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83978343.31,4828020.75,0.06
2001,AL,83784137.91,932226631.74,334925861.62,15.00,0.87,43399.20,0.13,49362812.38,3989973.73,30357062.88,8767245.03,0.00,0.00,0.00,88806364.07,-5022226.16,-0.06
2002,AL,87234119.25,896496082.06,323118829.96,18.00,0.86,44639.80,0.12,49725421.56,8099501.28,31856926.00,9180275.02,0.00,0.00,0.00,83784137.91,3449981.34,0.04
2003,AL,90028508.92,917243675.90,311456854.52,24.00,0.66,44848.80,0.11,75020242.24,14215417.29,31676952.94,12664867.02,0.00,0.00,0.00,87234119.25,2794389.67,0.03
2004,AL,87666415.99,824879619.78,274520201.71,25.00,0.64,46314.60,0.11,74251260.98,17294106.79,31635789.03,10626221.02,0.00,0.00,0.00,90028508.92,-2362092.94,-0.03
2005,AL,91471964.57,920143293.50,268120294.72,25.00,0.67,46519.20,0.11,78387046.43,14249400.74,31694223.09,10144581.03,0.00,0.00,0.00,87666415.99,3805548.59,0.04
2006,AL,92413616.55,910386288.12,247761854.47,25.00,0.66,46836.00,0.11,78344767.99,19680749.06,31911095.97,7251785.99,0.00,0.00,0.00,91471964.57,941651.98,0.01
2007,AL,94803587.41,894378463.03,245848335.38,25.00,0.66,47010.00,0.11,78219594.72,23472600.41,34325127.03,4136114.00,0.00,0.00,0.00,92413616.55,2389970.86,0.03
2008,AL,89426808.24,715093322.74,224900339.87,24.00,0.20,47224.80,0.11,224715295.32,66656241.92,116977923.19,18408444.01,4611802210.97,1051844600.23,0.00,94803587.41,-5376779.17,-0.06
2009,AL,74033778.23,555943149.84,99217968.63,23.00,0.17,47074.80,0.11,167570721.04,94523001.16,119148612.00,37606118.89,3688326638.73,1481002952.06,0.00,89426808.24,-15393030.00,-0.17
2010,AL,85171206.94,408378939.77,126579689.03,24.00,0.19,47083.60,0.11,189882494.62,117657651.78,113822463.19,26112761.92,3790942144.55,1820982202.39,0.00,74033778.23,11137428.70,0.15
2011,AL,84415460.42,358499020.79,122795565.45,24.00,0.18,47180.40,0.11,171986205.58,143385068.13,118068366.56,26650793.94,3387411028.38,2165355322.44,0.00,85171206.94,-755746.52,-0.01
2012,AL,75883991.34,257646617.56,91489530.93,24.00,0.17,48437.30,0.11,138135526.93,165849143.41,122523635.25,22305669.04,3068622539.32,2412230192.18,0.00,84415460.42,-8531469.07,-0.10
2013,AL,74162179.87,212302561.65,91075150.56,24.00,0.16,48985.10,0.11,142053071.86,139131002.08,122448405.19,38697533.90,2743117943.41,1948192267.66,0.00,75883991.34,-1721811.47,-0.02
2014,AL,75155072.84,239775034.67,98950679.94,24.00,0.17,49425.10,0.12,142615041.68,144261836.29,123731066.81,28400615.99,2853892095.74,2011580346.70,0.00,74162179.87,992892.97,0.01
2015,AL,72944370.16,195530329.99,89830323.80,24.00,0.16,49022.40,0.11,124911821.71,164957260.61,125854145.63,29476314.17,2457431938.15,2331532126.19,0.00,75155072.84,-2210702.68,-0.03
2016,AL,65503527.68,50068193.99,55295446.27,23.00,0.15,49944.60,0.12,102494262.01,172027464.19,119705636.44,22482617.99,2242810014.32,2844904337.35,0.00,72944370.16,-7440842.48,-0.10
2017,AL,60883581.02,20955321.73,42642159.68,23.00,0.14,51695.10,0.13,84933504.23,166922911.57,127955918.81,28254033.72,2466849024.72,3008739026.04,0.00,65503527.68,-4619946.65,-0.07
2018,AL,62170931.17,24046208.19,48879179.79,23.00,0.14,51048.80,0.13,94870721.99,170227934.85,118388480.34,34501173.08,2271105105.75,3282500105.56,0.00,60883581.02,1287350.14,0.02
2019,AL,56295754.89,12839087.73,37964412.28,23.00,0.13,53024.50,0.13,81985461.80,167398081.24,130970586.56,35370464.93,2280973621.28,3275965605.64,0.00,62170931.17,-5875176.28,-0.09
2020,AL,49577223.11,6559472.68,27528176.42,22.00,0.12,51889.90,0.14,66224944.11,160719155.72,130651941.00,41102885.89,1736593470.00,3051595225.16,0.00,56295754.89,-6718531.78,-0.12
2021,AL,54207629.33,12522965.36,29416019.80,20.00,0.13,54374.90,0.14,83460380.75,158569341.96,138109467.56,36044411.91,1938152409.63,3008148318.16,0.00,49577223.11,4630406.22,0.09
2022,AL,57519301.10,7644277.91,30023374.32,21.00,0.13,54803.70,0.14,82591155.04,180351793.81,126940969.88,33248346.06,2086424618.88,3520801329.11,0.00,54207629.33,3311671.77,0.06
2023,AL,49650602.96,4048795.46,25070357.05,21.00,0.12,56977.90,0.14,59138804.44,179744634.26,136737116.44,28891330.28,1929009865.63,3521311452.14,0.00,57519301.10,-7868698.14,-0.14
2024,AL,51683407.44,5276844.55,24521387.88,21.00,,6095.20,0.15,0.00,0.00,0.00,0.00,181617934.09,391828327.80,0.00,49650602.96,2032804.48,0.04
1997,AR,28274162.17,169588629.28,88781653.11,9.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
1998,AR,29490303.05,152555536.28,94744060.22,9.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28274162.17,1216140.88,0.04
1999,AR,31762751.02,154795538.30,101683853.95,10.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29490303.05,2272447.97,0.08
2000,AR,31886795.21,150114912.89,103549338.47,11.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31762751.02,124044.19,0.00
2001,AR,30788748.06,157458325.84,94951953.27,13.00,0.65,20102.40,0.15,24717125.00,3348375.06,14780788.94,2548251.00,0.00,0.00,0.00,31886795.21,-1098047.15,-0.03
2002,AR,29167246.68,141476668.06,84261986.05,15.00,0.62,20457.60,0.13,23017464.00,3929728.32,14558884.00,3435829.00,0.00,0.00,0.00,30788748.06,-1621501.38,-0.05
2003,AR,30822148.36,146014052.04,83497289.41,14.00,0.62,20481.60,0.11,23458887.00,7319098.34,14689416.00,2664703.16,0.00,0.00,0.00,29167246.68,1654901.68,0.06
2004,AR,31534337.65,162966038.43,80166952.84,14.00,0.61,20481.60,0.11,25282172.00,5432504.86,15449851.00,3668184.01,0.00,0.00,0.00,30822148.36,712189.30,0.02
2005,AR,29180670.50,132379432.07,70665607.03,15.00,0.61,20483.20,0.11,22970284.00,6122649.23,13689570.97,3103218.00,0.00,0.00,0.00,31534337.65,-2353667.16,-0.07
2006,AR,31508404.20,146863499.15,70828259.14,16.00,0.60,20483.20,0.11,24120317.00,9385749.13,15232577.00,1565277.00,0.00,0.00,0.00,29180670.50,2327733.70,0.08
2007,AR,32721245.34,144493752.49,75753342.50,19.00,0.60,20482.60,0.10,25668403.00,8340986.63,15486102.00,3266357.00,0.00,0.00,0.00,31508404.20,1212841.14,0.04
2008,AR,32465391.37,146578202.11,75599607.07,18.00,0.20,20722.60,0.10,78054285.42,24510096.00,42504272.91,14123561.98,1617062744.34,401298695.65,0.00,32721245.34,-255853.97,-0.01
2009,AR,32114617.41,137070911.94,68200850.38,19.00,0.19,20878.80,0.10,75063627.40,33100320.00,45509898.00,12879212.99,1497322920.09,513534970.69,0.00,32465391.37,-350773.96,-0.01
2010,AR,36654388.28,134167785.67,75571415.03,19.00,0.20,20876.90,0.10,84217451.89,36762789.00,45068034.00,10975323.01,1813821025.55,591495398.07,0.00,32114617.41,4539770.87,0.14
2011,AR,38488986.29,147245797.16,76675126.80,19.00,0.21,20882.40,0.10,88090857.18,38236341.00,42583334.91,8976827.99,1827792202.89,619866990.67,0.00,36654388.28,1834598.00,0.05
2012,AR,40159436.53,152652459.91,69693545.40,19.00,0.21,20882.40,0.10,85136493.19,50671410.86,46479393.00,6722646.00,1764587713.56,784684918.63,0.00,38488986.29,1670450.24,0.04
2013,AR,40520539.28,147155637.29,74295959.13,18.00,0.22,20637.60,0.09,95579598.28,35985621.30,35835771.00,8056675.32,1844771776.89,558158946.17,0.00,40159436.53,361102.75,0.01
2014,AR,39703013.95,151795444.73,76792758.02,18.00,0.21,20649.60,0.10,99607197.47,28365836.46,43434777.00,8120538.00,1966831944.80,451050877.53,0.00,40520539.28,-817525.34,-0.02
2015,AR,30106197.14,91087507.25,47226542.36,18.00,0.18,20781.60,0.10,65223363.34,42786220.20,41513382.00,10769715.01,1821414370.36,792064616.84,0.00,39703013.95,-9596816.80,-0.24
2016,AR,33889723.11,93145096.27,53785010.06,18.00,0.19,21210.60,0.10,71391545.91,53649822.00,40263066.00,10904856.01,1564863912.34,961825606.53,0.00,30106197.14,3783525.97,0.13
2017,AR,35609305.82,95538568.14,54999389.43,18.00,0.20,21282.60,0.11,78873600.61,51098940.00,38073237.00,8976236.96,1759655709.07,905236783.66,0.00,33889723.11,1719582.71,0.05
2018,AR,41397925.83,103545860.50,44874594.50,18.00,0.20,22103.60,0.11,89986509.47,60941289.00,38162454.00,9757299.02,2057153074.86,1076558214.81,0.00,35609305.82,5788620.01,0.16
2019,AR,35976311.75,78690591.05,34745382.82,18.00,0.19,22435.00,0.11,68205956.79,64407237.00,40724841.00,13180049.94,1966692016.66,1297215701.51,0.00,41397925.83,-5421614.08,-0.13
2020,AR,26064912.18,44460295.99,25299078.26,18.00,0.16,23663.00,0.12,46309697.71,54408302.75,45189147.00,14605055.54,1379443318.07,1096031609.26,0.00,35976311.75,-9911399.57,-0.28
2021,AR,33338809.91,67893686.84,32960951.64,17.00,0.18,24283.00,0.12,64342457.99,61296834.98,40667052.00,13723998.05,1613713692.18,1229396221.82,0.00,26064912.18,7273897.73,0.28
2022,AR,34988630.58,61999811.74,33880102.72,17.00,0.18,26100.20,0.13,61167644.88,77599008.61,42971091.00,12817506.22,1787551716.13,1533854770.39,0.00,33338809.91,1649820.67,0.05
2023,AR,31565802.83,51870131.36,29327488.00,17.00,0.17,32181.30,0.15,50590043.89,78912273.33,44917443.00,12380500.48,1582712087.79,1546845399.02,0.00,34988630.58,-3422827.75,-0.10
2024,AR,29349293.37,45272902.29,28578046.47,17.00,,4794.30,0.23,0.00,0.00,0.00,0.00,140959747.05,126406023.61,0.00,31565802.83,-2216509.46,-0.07
1997,AZ,40697235.79,252712878.95,157657905.80,11.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
1998,AZ,43630002.30,203686519.81,170206785.21,11.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40697235.79,2932766.52,0.07
1999,AZ,45767916.57,150977591.69,172851678.47,11.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43630002.30,2137914.26,0.05
2000,AZ,49404158.22,143112981.10,192980813.01,11.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45767916.57,3636241.66,0.08
2001,AZ,50724052.95,146657496.61,186332595.50,16.00,0.65,34687.20,0.14,35318766.33,6138148.26,28724076.09,7900077.99,0.00,0.00,0.00,49404158.22,1319894.72,0.03
2002,AZ,51489928.29,141386237.37,169875369.46,19.00,0.63,34846.80,0.13,33668884.69,9458463.62,30861910.88,7551546.99,0.00,0.00,0.00,50724052.95,765875.35,0.02
2003,AZ,53977112.22,138792135.39,165214108.90,26.00,0.59,34899.80,0.11,37911213.17,17972102.36,28581052.88,7358969.46,0.00,0.00,0.00,51489928.29,2487183.92,0.05
2004,AZ,57233065.67,120743462.56,166165391.09,26.00,0.57,34944.20,0.10,39545802.94,25994753.25,28112609.06,6923972.03,0.00,0.00,0.00,53977112.22,3255953.46,0.06
2005,AZ,58265190.70,105523041.63,161580063.51,27.00,0.57,35183.20,0.10,39844475.61,29267519.14,25807446.09,6518292.00,0.00,0.00,0.00,57233065.67,1032125.03,0.02
2006,AZ,61415954.93,98321803.98,160393504.56,27.00,0.59,35138.20,0.10,40230419.59,33168383.25,24012231.09,6954590.05,0.00,0.00,0.00,58265190.70,3150764.23,0.05
2007,AZ,66351591.03,112972601.57,168861805.80,27.00,0.59,35418.20,0.10,40986821.05,38823125.02,26782391.06,6731731.01,0.00,0.00,0.00,61415954.93,4935636.10,0.08
2008,AZ,66277580.76,96231054.70,157050348.10,28.00,0.18,35775.60,0.10,131845909.38,116297545.43,87751487.81,22185468.01,3216647650.78,2041235657.48,0.00,66351591.03,-74010.27,0.00
2009,AZ,60379418.59,71955944.34,131216333.39,28.00,0.18,36528.60,0.10,120158448.69,103355784.70,91985552.44,19921545.03,3448132652.13,2141044919.80,0.00,66277580.76,-5898162.17,-0.09
2010,AZ,60713242.06,72890253.68,121047404.27,28.00,0.18,38843.90,0.11,131895506.58,88263768.35,93599805.38,20943873.08,3464512052.50,1838849777.19,0.00,60379418.59,333823.47,0.01
2011,AZ,58678013.13,64855269.25,110906103.62,29.00,0.18,40657.30,0.11,131376229.85,69650667.33,93833588.25,28895661.31,3598101419.79,1497042596.08,0.00,60713242.06,-2035228.94,-0.03
2012,AZ,58345336.91,40045803.38,96274819.43,29.00,0.18,47656.70,0.13,122680968.26,88681680.28,95801747.63,23977692.04,3577896752.25,1856671013.21,0.00,58678013.13,-332676.22,-0.01
2013,AZ,61377255.28,47377476.93,103506840.43,29.00,0.18,53427.70,0.14,131213843.46,88429731.21,94293240.19,25500394.91,3371661987.13,1799156443.85,0.00,58345336.91,3031918.37,0.05
2014,AZ,60315714.44,45604186.42,96881622.21,29.00,0.18,56143.70,0.14,129228397.17,80464735.36,96962751.56,29192386.29,3513185072.77,1679976540.72,0.00,61377255.28,-1061540.84,-0.02
2015,AZ,56795971.18,35633932.70,79815988.45,29.00,0.17,58139.80,0.15,109861208.69,99432153.22,97576785.00,31423807.38,3302250356.23,2053570550.48,0.00,60315714.44,-3519743.26,-0.06
2016,AZ,50597088.83,26345565.25,66404237.06,30.00,0.16,62768.90,0.16,91691673.61,102219839.92,97132430.81,34516902.87,2373903697.92,2107346188.27,0.00,56795971.18,-6198882.35,-0.11
2017,AZ,49874529.86,27181328.77,67484573.42,29.00,0.16,64664.20,0.16,94608463.42,88519753.29,97020414.00,36680230.77,2870438242.04,2094378496.64,0.00,50597088.83,-722558.97,-0.01
2018,AZ,52956928.39,34125290.62,65758427.22,30.00,0.16,64793.30,0.16,93520300.65,109522705.27,93291777.00,37921470.10,2835656865.14,2608974041.44,0.00,49874529.86,3082398.53,0.06
2019,AZ,47951257.54,24187509.25,53541917.93,29.00,0.14,66768.10,0.16,71412581.53,136135866.58,95761103.63,36114477.24,2307034956.52,3241478789.66,0.00,52956928.39,-5005670.85,-0.09
2020,AZ,38939092.39,16443184.74,32387300.34,28.00,0.12,74113.20,0.19,43202323.43,150488829.38,94657298.63,38902362.91,1369519969.59,3565730994.09,0.00,47951257.54,-9012165.16,-0.19
2021,AZ,37985502.20,15097273.15,30630567.98,29.00,0.12,78624.30,0.20,44984117.39,141894303.01,94889585.25,43124835.79,1174239965.99,3299962377.45,0.00,38939092.39,-953590.19,-0.02
2022,AZ,35953985.06,14773576.06,27987477.26,29.00,0.11,83043.90,0.21,41727059.82,133876349.55,95828379.19,42084011.46,1371150115.03,3115925938.91,0.00,37985502.20,-2031517.14,-0.05
2023,AZ,37161807.02,13967506.78,25943137.50,29.00,0.11,97357.50,0.23,38159191.74,156503740.88,94567769.44,45681767.82,1386421521.89,3601331532.23,0.00,35953985.06,1207821.96,0.03
2024,AZ,35448665.25,10007936.63,22940057.31,30.00,,14531.40,0.28,0.00,0.00,0.00,0.00,102331788.48,388686380.11,0.00,37161807.02,-1713141.77,-0.05
1997,CA,23685756.15,404788.10,24266850.31,29.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
1998,CA,23687582.95,299025.05,26561269.70,27.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23685756.15,1826.80,0.00
1999,CA,27175970.22,303896.95,28848082.92,33.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23687582.95,3488387.27,0.15
2000,CA,41068208.71,760177.85,39735662.37,34.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27175970.22,13892238.49,0.51
2001,CA,47869227.03,3772963.45,37676239.75,42.00,0.29,228016.80,0.32,3682454.31,76788321.52,33219520.00,29149302.94,0.00,0.00,0.00,41068208.71,6801018.33,0.17
2002,CA,31312117.51,424365.67,21535846.56,55.00,0.20,230526.30,0.31,4221010.70,66673063.80,34352340.00,35525803.77,0.00,0.00,0.00,47869227.03,-16557109.53,-0.35
2003,CA,31326327.60,351072.55,22324136.03,68.00,0.16,229915.00,0.29,4234683.59,91023087.04,35593789.00,40076280.22,0.00,0.00,0.00,31312117.51,14210.09,0.00
2004,CA,35915667.96,381836.41,9272069.91,66.00,0.19,232070.60,0.29,4394133.21,102233020.08,30267887.00,38341534.24,0.00,0.00,0.00,31326327.60,4589340.36,0.15
2005,CA,31660158.46,344796.17,8713237.14,76.00,0.16,234122.70,0.28,4454239.83,94852675.38,36154898.00,44635026.00,0.00,0.00,0.00,35915667.96,-4255509.50,-0.12
2006,CA,37782878.80,532554.12,10791242.46,83.00,0.17,236557.90,0.28,4386059.97,107737658.03,31958621.00,53631194.11,0.00,0.00,0.00,31660158.46,6122720.35,0.19
2007,CA,42881830.77,548523.79,14473328.02,91.00,0.20,240455.90,0.28,4120010.86,117456029.41,35792490.00,33884698.44,0.00,0.00,0.00,37782878.80,5098951.96,0.13
2008,CA,44345412.72,519931.62,9655814.11,92.00,0.07,242168.60,0.28,11811500.69,363346893.11,97447053.00,91752055.64,363207502.15,8463729330.25,0.00,42881830.77,1463581.95,0.03
2009,CA,41481910.35,637585.32,14261139.03,98.00,0.07,250127.90,0.28,11059798.47,338865996.40,95291412.00,104260141.67,335370835.54,8003884606.82,0.00,44345412.72,-2863502.37,-0.06
2010,CA,37086792.14,454528.54,9003688.31,101.00,0.06,257451.10,0.28,10086033.74,321109593.09,96602271.00,120958659.07,255445887.78,7321480545.61,0.00,41481910.35,-4395118.21,-0.11
2011,CA,29501966.83,315747.56,6095767.30,99.00,0.05,271301.20,0.29,8903558.77,271569578.09,109989741.00,154021534.02,285114200.26,6374510216.03,0.00,37086792.14,-7584825.31,-0.20
2012,CA,44316846.74,462114.46,9624548.92,103.00,0.07,303247.60,0.31,4160137.91,358369964.27,55522224.00,115949924.97,198414716.17,7411189335.92,0.00,29501966.83,14814879.91,0.50
2013,CA,43911178.77,459657.57,7619798.47,110.00,0.11,333419.50,0.32,1858807.11,240768594.04,35823886.00,81041032.92,166447078.03,6844754733.83,0.00,44316846.74,-405667.97,-0.01
2014,CA,44528214.42,462505.27,6243487.96,109.00,0.11,363651.60,0.35,1671622.52,237551784.70,33971956.00,78689390.28,162538369.45,6915756159.91,0.00,43911178.77,617035.65,0.01
2015,CA,43984878.37,463613.88,6845243.55,108.00,0.11,381351.40,0.37,803256.00,231638417.98,37010770.00,81955811.13,140733231.19,6706488858.38,0.00,44528214.42,-543336.06,-0.01
2016,CA,36047378.26,379156.37,5845349.82,112.00,0.09,409565.70,0.38,833484.00,197136048.05,37815156.00,123064483.45,131366140.88,5518169488.15,0.00,43984878.37,-7937500.10,-0.18
2017,CA,31862242.01,323379.69,5032178.77,108.00,0.08,421187.10,0.39,778538.01,179277259.98,35802158.00,159998741.18,128544726.09,5166004194.14,0.00,36047378.26,-4185136.25,-0.12
2018,CA,32841860.93,328658.41,5308918.85,108.00,0.08,436814.80,0.41,845139.99,182285208.11,36427038.00,134527300.67,123846452.02,5193257760.68,0.00,31862242.01,979618.92,0.03
2019,CA,31338161.96,312238.50,4809457.60,109.00,0.08,451184.40,0.42,670492.00,174324164.36,32330768.00,160825392.64,114844752.84,4913623039.35,0.00,32841860.93,-1503698.98,-0.05
2020,CA,34992566.34,349368.36,4794817.78,108.00,0.09,474221.70,0.43,827514.00,186799696.81,32517396.00,130374616.85,116496301.50,5435581796.48,0.00,31338161.96,3654404.39,0.12
2021,CA,37140683.04,372234.35,6555638.84,109.00,0.09,494416.60,0.44,833917.98,197118578.28,32954732.00,128844076.72,131392229.20,5509488293.94,0.00,34992566.34,2148116.70,0.06
2022,CA,37211666.03,397457.16,5293723.39,109.00,0.09,519431.40,0.44,759501.72,195339239.45,35186508.00,141818203.66,113862537.56,5306276373.29,0.00,37140683.04,70982.99,0.00
2023,CA,36663300.61,368663.66,4945625.78,109.00,0.08,546984.60,0.44,496356.93,191198917.61,35436736.00,173177596.05,106133892.61,5394110034.65,0.00,37211666.03,-548365.43,-0.01
2024,CA,32975553.91,333193.62,4414775.34,108.00,,56401.60,0.39,0.00,0.00,0.00,0.00,10849000.34,505905661.75,0.00,36663300.61,-3687746.69,-0.10
1997,CO,39682086.14,193285539.00,162798513.44,14.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
1998,CO,38576193.68,192809650.30,154174943.50,14.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39682086.14,-1105892.45,-0.03
1999,CO,38629942.77,178184564.70,137331115.73,14.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38576193.68,53749.09,0.00
2000,CO,41883006.82,174351155.23,141604309.87,17.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38629942.77,3253064.05,0.08
2001,CO,44826976.98,180776021.40,143458950.55,19.00,1.21,14649.60,0.13,30667789.95,4769786.94,0.00,1291415.24,0.00,0.00,0.00,41883006.82,2943970.16,0.07
2002,CO,44504118.80,175423200.93,145327032.46,21.00,1.30,14789.00,0.12,26702468.09,6279986.95,0.00,1133137.76,0.00,0.00,0.00,44826976.98,-322858.18,-0.01
2003,CO,45498488.13,146246630.67,143704618.47,23.00,0.98,16747.40,0.12,36346006.97,8824989.87,0.00,1204236.11,0.00,0.00,0.00,44504118.80,994369.33,0.02
2004,CO,45498862.66,121028854.72,131816776.64,24.00,0.95,16856.20,0.11,35967259.78,10635636.64,0.00,1223004.98,0.00,0.00,0.00,45498488.13,374.53,0.00
2005,CO,46127712.66,118674121.75,135270794.51,24.00,0.93,17240.70,0.11,35667911.23,11840609.60,0.00,2069467.00,0.00,0.00,0.00,45498862.66,628850.00,0.01
2006,CO,46659680.57,120429640.19,130152095.28,24.00,0.92,18385.40,0.12,36395474.98,11808476.60,0.00,2456241.00,0.00,0.00,0.00,46127712.66,531967.92,0.01
2007,CO,47340646.48,122185969.60,130689342.38,25.00,0.88,27114.60,0.16,36364241.91,14525760.27,0.00,2855195.74,0.00,0.00,0.00,46659680.57,680965.90,0.01
2008,CO,45485321.55,113442260.52,124622994.75,25.00,0.28,27154.30,0.16,105004447.22,40075416.39,0.00,15088248.81,2532005170.04,767578338.01,0.00,47340646.48,-1855324.92,-0.04
2009,CO,42638101.21,87674748.31,106946460.32,27.00,0.28,29877.60,0.17,95571602.14,40873865.28,0.00,14418515.85,2946860331.35,931458183.57,0.00,45485321.55,-2847220.34,-0.06
2010,CO,45099379.57,91723058.44,109752619.02,27.00,0.30,30842.40,0.16,104834864.91,32064958.36,0.00,14851790.50,2770503277.73,755670368.22,0.00,42638101.21,2461278.36,0.06
2011,CO,43139255.98,86645423.46,100787660.40,26.00,0.28,37000.30,0.19,102773670.28,29700622.93,0.00,19708332.74,2955534814.70,694022076.46,0.00,45099379.57,-1960123.60,-0.04
2012,CO,43227371.57,78873486.62,89746113.81,26.00,0.27,43327.80,0.21,104528088.80,30633757.47,0.00,21901509.03,2837342559.92,670706298.33,0.00,43139255.98,88115.59,0.00
2013,CO,43278192.34,76724808.40,89669967.97,26.00,0.27,44391.90,0.21,102032540.87,31232752.82,0.00,25153834.97,2732867011.12,683689363.91,0.00,43227371.57,50820.77,0.00
2014,CO,42459735.52,53922281.52,81430323.57,25.00,0.26,48147.00,0.23,98472921.74,35056973.08,0.00,27498647.76,2637693390.20,769195324.63,0.00,43278192.34,-818456.82,-0.02
2015,CO,42056398.73,45811243.21,71344726.08,24.00,0.27,53431.00,0.24,94980657.46,34578721.70,0.00,27195128.99,2766618173.82,754838996.93,0.00,42459735.52,-403336.78,-0.01
2016,CO,39859836.60,38175451.40,59012618.30,24.00,0.24,57037.40,0.26,90491459.56,37413531.14,0.00,34703094.20,2394607555.87,784378446.39,0.00,42056398.73,-2196562.13,-0.05
2017,CO,39173480.49,30214992.46,50360583.76,24.00,0.24,58535.80,0.26,85042626.09,40292931.99,0.00,35518454.29,2425980354.51,783803804.30,0.00,39859836.60,-686356.11,-0.02
2018,CO,37624976.85,22762730.21,38431091.14,23.00,0.23,66531.20,0.29,79916079.47,48422011.46,0.00,37110531.66,2128932975.35,1041523947.33,0.00,39173480.49,-1548503.64,-0.04
2019,CO,37144717.95,22729524.38,39024562.38,23.00,0.22,69492.60,0.30,76686971.72,50578105.05,0.00,41069145.41,2070101106.21,1095783693.83,0.00,37624976.85,-480258.91,-0.01
2020,CO,32729518.50,18167352.44,33751618.09,22.00,0.20,81974.90,0.34,59240167.43,52811885.69,0.00,49221276.01,1730074796.13,1169320341.50,0.00,37144717.95,-4415199.45,-0.12
2021,CO,34767157.02,20773193.53,34879123.42,22.00,0.20,90162.90,0.36,70914933.11,43656032.34,0.00,55237673.90,1826788576.13,959058556.32,0.00,32729518.50,2037638.52,0.06
2022,CO,33677695.75,20811480.97,34617469.24,22.00,0.19,94933.90,0.37,65960708.44,45529582.47,0.00,61903935.03,1645400033.36,1037617333.20,0.00,34767157.02,-1089461.27,-0.03
2023,CO,30817221.93,18727670.16,27123354.40,22.00,0.18,107089.00,0.39,56732120.99,51223341.62,0.00,63950907.01,1834212352.99,1079036819.65,0.00,33677695.75,-2860473.82,-0.08
2024,CO,29105412.52,14662414.78,24476370.97,22.00,,11381.60,0.42,0.00,0.00,0.00,0.00,159464034.64,130186035.68,0.00,30817221.93,-1711809.41,-0.06
1997,CT,12565387.15,101757680.58,35193674.62,7.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
1998,CT,10884164.70,96649546.86,31407139.01,6.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12565387.15,-1681222.45,-0.13
1999,CT,9493526.54,82511181.53,23484634.05,7.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10884164.70,-1390638.16,-0.13
2000,CT,9747714.32,73835653.41,24180163.22,7.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9493526.54,254187.78,0.03
2001,CT,8827574.07,68252068.18,21947877.50,11.00,0.35,1825.20,0.02,1428003.02,2498659.01,15427767.00,279867.77,0.00,0.00,0.00,9747714.32,-920140.25,-0.09
2002,CT,7827884.03,21628250.79,10334756.50,18.00,0.31,1790.40,0.02,1789095.22,4516109.35,14918272.00,319826.00,0.00,0.00,0.00,8827574.07,-999690.03,-0.11
2003,CT,7252454.08,16293605.42,10042324.90,20.00,0.25,1790.40,0.02,4231561.57,5074931.06,16078095.03,564398.09,0.00,0.00,0.00,7827884.03,-575429.95,-0.07
